target,province,local,govpos,domains,time,duration
骆惠宁,安徽,合肥,安徽省政府办公厅秘书/商务厅副处长/党组副书记/办公厅主任/省政府秘书长/党组书记,党政,1982,16
骆惠宁,安徽,巢湖,中共巢湖地委书记,党,1998,1
骆惠宁,安徽,合肥,中共安徽省委宣传部长/省委常委,党,1999,4
骆惠宁,青海,西宁,青海省委副书记/书记/青海省长,党政,2003,13
骆惠宁,山西,太原,山西省委书记,党,2016,3
骆惠宁,北京,北京,全国人大财经委员会副主任,政,2019,1
骆惠宁,香港,香港,中共中央香港工作委员会书记、中央人民政府驻香港联络办主任,党政,2020,2
栗战书,河北,无极,无极县委书记,党,1983,2
栗战书,河北,石家庄,石家庄地委副书记、共青团河北省委书记,党团,1985,1
栗战书,河北,承德,承德地委副书记,党,1990,3
栗战书,河北,石家庄,河北省委常委,党,1993,5
栗战书,陕西,西安,陕西省委常委/西安市委书记/西安人大常委会主任/,党政,1998,5
栗战书,黑龙江,哈尔滨,黑龙江省委副书记/黑龙江省副省长/省长,党政,2003,7
栗战书,贵州,贵阳,贵州省委书记,党,2010,2
栗战书,北京,北京,中共中央办公厅主任/全国人大常委会主任/中共中央政治局常委,党政,2012,10
李强,浙江,瑞安,团委负责人/县团委书记,团,1982,2
李强,浙江,杭州,省政府民政厅农村救济处处长/人事处处长/民政厅副厅长,政,1984,12
李强,浙江,金华,金华市委常委/永康市委书记/市人大常委会主任,党政,1996,2
李强,浙江,杭州,省政府办公厅副主任/工商管理局局长/书记,党政,1998,4
李强,浙江,温州,温州市委书记/人大常委会主任,党政,2002,2
李强,浙江,杭州,浙江省委秘书长/常委/副书记/政法委书记/省长,党政,2004,12
李强,江苏,南京,江苏省委书记/省人大常委会主任,党政,2016,1
李强,上海,上海,上海市委书记,党,2017,5
李强,北京,北京,中共中央政治局常委；国务院总理,党政,2022,1
陈敏尔,浙江,绍兴,绍兴县委宣传部长/绍兴市委宣传部副部长/绍兴县委副书记/县长/县委书记,党政,1987,10
陈敏尔,浙江,宁波,宁波市委副书记/宁波市副市长,党政,1997,2
陈敏尔,浙江,杭州,浙江日报党委书记/省委宣传部长/副省长,党政,1999,13
陈敏尔,贵州,贵阳,贵州省委副书记/书记/贵州省长,党政,2012,5
陈敏尔,重庆,重庆,重庆市委书记,党,2017,5
陈敏尔,天津,天津,天津市委书记,党,2022,1
